timestamp,sensor_timestamp,Temp_C,Humidity_pct,Gas_AQI,Light_Lux,Motion_Detected,state_label,risk,risk_score,scenario_id,scenario,cluster_id,gas_pred,temp_pred,trend,raw_trend,spatial_risk,anomaly_score,is_anomaly,guard_risk_class,guard_scenario_class,guard_scenario_label,guard_confidence,reward,fan,alarm,servo,buzzer,rgb_led,action_id
2026-05-18 12:28:34,2026-05-18 12:28:34,24.81,51.97,69.74,41010.04,0,Warning,Warning,56.19,1,Crowded,1,0.0943,0.1467,0.2983,0.020523,0.3596,0.3073,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
timestamp,sensor_timestamp,Temp_C,Humidity_pct,Gas_AQI,Light_Lux,Motion_Detected,state_label,risk,risk_score,scenario_id,scenario,cluster_id,gas_pred,temp_pred,trend,raw_trend,spatial_risk,anomaly_score,is_anomaly,guard_risk_class,guard_scenario_class,guard_scenario_label,guard_confidence,reward,fan,alarm,servo,buzzer,rgb_led,action_id
2026-05-18 12:28:34,2026-05-18 12:28:34,24.81,51.97,69.74,41010.04,0,Warning,Warning,56.19,1,Crowded,1,0.0943,0.1467,0.2983,0.020523,0.3596,0.3073,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:38,2026-05-18 12:28:38,24.25,52.43,67.43,42449.67,0,Warning,Warning,56.24,1,Crowded,1,0.0762,0.116,0.3086,0.021224,0.3765,0.0061,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:38,2026-05-18 12:28:38,24.25,52.43,67.43,42449.67,0,Warning,Warning,56.24,1,Crowded,1,0.0762,0.116,0.3086,0.021224,0.3765,0.0061,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:42,2026-05-18 12:28:42,24.62,51.7,69.6,42622.82,0,Warning,Warning,56.27,1,Crowded,1,0.0932,0.1363,0.3038,0.020894,0.3497,0.001,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:42,2026-05-18 12:28:42,24.62,51.7,69.6,42622.82,0,Warning,Warning,56.27,1,Crowded,1,0.0932,0.1363,0.3038,0.020894,0.3497,0.001,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:46,2026-05-18 12:28:46,24.45,51.99,66.81,41853.4,0,Warning,Warning,56.25,1,Crowded,1,0.0714,0.127,0.3063,0.021067,0.3631,0.0014,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:46,2026-05-18 12:28:46,24.45,51.99,66.81,41853.4,0,Warning,Warning,56.25,1,Crowded,1,0.0714,0.127,0.3063,0.021067,0.3631,0.0014,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:50,2026-05-18 12:28:50,24.82,52.12,68.09,42696.11,0,Warning,Warning,56.27,1,Crowded,1,0.0814,0.1472,0.3065,0.02108,0.3555,0.0004,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:50,2026-05-18 12:28:50,24.82,52.12,68.09,42696.11,0,Warning,Warning,56.27,1,Crowded,1,0.0814,0.1472,0.3065,0.02108,0.3555,0.0004,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:54,2026-05-18 12:28:54,24.14,52.59,69.26,42837.1,0,Warning,Warning,56.23,1,Crowded,1,0.0906,0.11,0.3078,0.021168,0.3791,0.0046,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
2026-05-18 12:28:54,2026-05-18 12:28:54,24.14,52.59,69.26,42837.1,0,Warning,Warning,56.23,1,Crowded,1,0.0906,0.11,0.3078,0.021168,0.3791,0.0046,False,1,1,Crowded,1.0,0.7,ON,OFF,OPEN,OFF,YELLOW,1
